date,aud,cad,inr,jpy,pkr
2025-02-13,1.59222021,1.42913756,86.94699324,154.35418016,279.05857192
2025-02-14,1.58100988,1.41842627,86.71091746,152.49286071,279.25725347
2025-02-15,1.57431453,1.4184995,86.66837203,152.30436894,279.39228966
2025-02-16,1.57447466,1.41851632,86.61943637,152.3158678,279.19190724
2025-02-17,1.57087222,1.41648196,86.66462948,151.77693748,278.86677874
